location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Libby Courthouse,LINCOLN,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,2.2,µg/m³,48.3841,-115.548,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Montana DEQ""}]"
Clemmons Middle,Winston-Salem,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,11.2,µg/m³,36.0261,-80.3419,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Forsyth County Office of Environmental Assistance and Protection""}]"
Reubens-ID,NEZ PERCE,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,-0.1,µg/m³,46.3349,-116.535797,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Eagle Pass C319,Eagle Pass,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,15.2,µg/m³,28.704607,-100.451155,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Burdens Creek,Durham,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,2,µg/m³,35.889402,-78.8747,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""EPA Office of Air Quality Planning and Standards""}]"
Sunrise Acres,Las Vegas-Paradise,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,1.8,µg/m³,36.163958,-115.113917,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Clark County Department of Air Quality""}]"
Springfield PM,Springfield,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,6.6,µg/m³,39.92882,-83.80949,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
BAY CITY,Bay City,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,7.7,µg/m³,43.5714,-83.8908,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Michigan Department of Environmental Quality""}]"
Yellow Springs,Dayton,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,3,µg/m³,39.80834,-83.88711,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Lafayette,Lafayette,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,2.4,µg/m³,30.2258,-92.042801,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Louisiana Department of Environmental Quality""}]"
Durango,Phoenix-Mesa-Scottsdale,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,3,µg/m³,33.4265,-112.1181,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Maricopa County Air Quality Department""}]"
PEORIA_J,Peoria,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,14,µg/m³,40.6978,-89.5889,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
West Union,ADAMS,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,3.8,µg/m³,38.79471,-83.533988,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Pocono,East Stroudsburg,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,16.3,µg/m³,41.083099,-75.3283,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
DETROIT - W LAFAYETT,Detroit-Warren-Livonia,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,13.9,µg/m³,42.3231,-83.0689,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Michigan Department of Environmental Quality""}]"
Corpus Christi Dona,Corpus Christi,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,10,µg/m³,27.811814,-97.4657,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Cheeka Peak,Port Angeles,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,1.9,µg/m³,48.2867,-124.6203,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Darrington-Fir St,Seattle-Tacoma-Bellevue,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,9,µg/m³,48.246799,-121.603104,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
LLCHD BAM,Lincoln,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,17,µg/m³,40.8125,-96.683098,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Nebraska Department of Environmental Quality""}]"
WIND CAVE,CUSTER,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,3.7,µg/m³,43.557613,-103.483658,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Dakota Department of Environmental and Natural Resources""}]"
