location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Lawton North,Lawton,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,1,µg/m³,34.632999,-98.428802,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Oklahoma Department of Environmental Quality""}]"
Warner Robins,Warner Robins,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,3.2,µg/m³,32.6056,-83.5979,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Valdosta,Valdosta,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,15,µg/m³,30.8486,-83.2933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
PUBLIC HEALTH,Cedar Rapids,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,4,µg/m³,41.9767,-91.6878,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Linn Co. Public Health""}]"
PUBLIC HEALTH 4,Cedar Rapids,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,0,µg/m³,41.97677,-91.68766,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Linn Co. Public Health""}]"
Charleston Public Wo,Charleston-North Charleston,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,8.4,µg/m³,32.791,-79.959,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
PITTAGCT,Greenville,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,7.5,µg/m³,35.638599,-77.358002,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Hilo,Hilo,US,2017-02-25T20:00:00.000Z,2017-02-25T10:00:00-10:00,pm25,14,µg/m³,19.717562,-155.110535,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Kona,Hilo,US,2017-02-25T20:00:00.000Z,2017-02-25T10:00:00-10:00,pm25,21,µg/m³,19.5097,-155.9133,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Pahala,Hilo,US,2017-02-25T20:00:00.000Z,2017-02-25T10:00:00-10:00,pm25,14,µg/m³,19.2065,-155.4689,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
